Url,Module,FE_Service,FE_Action
/adminapi/api/v1/customer/classify/age,api,CustomerService.ts,classifyAge
/adminapi/api/v1/customer/classify/campaignJoined,api,CustomerService.ts,classifyCampaignJoined
/adminapi/api/v1/customer/classify/custArea,api,CustomerService.ts,classifyCustArea
/adminapi/api/v1/customer/classify/custCareer,api,CustomerService.ts,classifyCustCareer
/adminapi/api/v1/customer/classify/custGroup,api,CustomerService.ts,classifyCustGroup
/adminapi/api/v1/customer/classify/custSource,api,CustomerService.ts,classifyCustSource
/adminapi/api/v1/customer/classify/custType,api,CustomerService.ts,classifyCustType
/adminapi/api/v1/customer/classify/customerCard,api,CustomerService.ts,classifyCustomerCard
/adminapi/api/v1/customer/classify/gender,api,CustomerService.ts,classifyGender
/adminapi/api/v1/customer/classify/identify,api,CustomerService.ts,classifyIdentify
/adminapi/api/v1/customer/classify/interactTimes,api,CustomerService.ts,classifyInteractTimes
/adminapi/api/v1/customer/classify/notInteractDay,api,CustomerService.ts,classifyNotInteractDay
/adminapi/api/v1/customer/classify/topBought,api,CustomerService.ts,classifyTopBought
/adminapi/api/v1/customer/classify/topInteract,api,CustomerService.ts,classifyTopInteract
/adminapi/api/v1/customer/classify/topRevenue,api,CustomerService.ts,classifyTopRevenue
/adminapi/api/v1/customer/classify/topValueInvoice,api,CustomerService.ts,classifyTopValueInvoice
/adminapi/api/v1/score/action,api,CampaignService.ts,listActionScore
/adminapi/api/v1/score/campaign,api,CampaignService.ts,listDataStep3
/adminapi/api/v1/score/insertMulti,api,CampaignService.ts,updateStep3
/adminapi/app/delete,app,InstallApplicationService.ts,delete
/adminapi/app/get,app,InstallApplicationService.ts,detail
/adminapi/app/get/key,app,InstallApplicationService.ts,takeKey
/adminapi/app/list,app,InstallApplicationService.ts,list
/adminapi/app/update,app,InstallApplicationService.ts,update
/adminapi/approvalObject/reset,approvalObject,FSQuoteService.ts,resetSignal
/adminapi/artifactGridHeader/list,artifactGridHeader,GridService.ts,list
/adminapi/athena/account-info,athena,EmployeeAgentService.ts,listAthena
/adminapi/bpm/list/eform,bpm,BpmEformMappingService.ts,lstEform
/adminapi/bpmForm/reject,bpmForm,WorkOrderService.ts,updateReject
/adminapi/brandname/get,brandname,unknown,detail
/adminapi/campaign/sale-point-config/get,campaign,CampaignService.ts,listDataScoreEmployee
/adminapi/campaign/sale-point-config/update,campaign,CampaignService.ts,updateStep4
/adminapi/campaign/update/kpi,campaign,KpiService.ts,updateKpi
/adminapi/campaignApproach/update/sla,campaignApproach,unknown,updateSLA
/adminapi/campaignOpportunity/check,campaignOpportunity,CampaignOpportunityService.ts,opportunityCheck
/adminapi/campaignOpportunity/exportAction,campaignOpportunity,CampaignService.ts,exportAction
/adminapi/campaignOpportunity/exportCustomer,campaignOpportunity,CampaignService.ts,exportCustomer
/adminapi/campaignOpportunity/exportResult,campaignOpportunity,CampaignService.ts,exportResult
/adminapi/campaignOpportunity/statisticConvertRate,campaignOpportunity,CampaignService.ts,statisticConvertRate
/adminapi/campaignOpportunity/total/dashboard/detail,campaignOpportunity,unknown,totalOpportunityDetail
/adminapi/campaignOpportunity/totalByApproach/dashboard,campaignOpportunity,unknown,totalByApproach
/adminapi/campaignOpportunity/totalByDate/dashboard,campaignOpportunity,unknown,opportunityByDate
/adminapi/campaignOpportunity/totalExpectedRevenue/dashboard,campaignOpportunity,unknown,expectedRevenue
/adminapi/campaignOpportunity/totalExpectedRevenue/dashboard/detail,campaignOpportunity,unknown,expectedRevenueDetail
/adminapi/campaignPipeline/delete,campaignPipeline,CampaignPipelineService.ts,delete
/adminapi/campaignPipeline/get,campaignPipeline,CampaignPipelineService.ts,detail
/adminapi/campaignPipeline/list,campaignPipeline,CampaignPipelineService.ts,list
/adminapi/campaignPipeline/update,campaignPipeline,CampaignPipelineService.ts,update
/adminapi/campaignSale/interaction/employee,campaignSale,KpiService.ts,listEmployeeKpiContact
/adminapi/campaignSale/interaction/kpis,campaignSale,KpiService.ts,addEmployeeToKpiContact
/adminapi/chatgpt/chat,chatgpt,ChatBotService.ts,update
/adminapi/chatlog/list,chatlog,ChatBotService.ts,lst
/adminapi/cleanData/uploadCustomer/delete,cleanData,unknown,customerUploadDelete
/adminapi/contact/export/attributes,contact,ContactService.ts,exAttributes
/adminapi/contact/export/randomContacts,contact,ContactService.ts,numberFieldContact
/adminapi/contact/import,contact,ContactService.ts,downloadFile
/adminapi/contact/import/autoProcess,contact,ContactService.ts,autoProcess
/adminapi/contact/placeholder,contact,PlaceholderService.ts,contact
/adminapi/contactAttribute/checkDuplicated,contactAttribute,ContactAttributeService.ts,checkDuplicated
/adminapi/contactExchange/get,contactExchange,ContactService.ts,updateContactExchange
/adminapi/contactPipeline/get,contactPipeline,ContactPipelineService.ts,detail
/adminapi/contactStatus/get,contactStatus,ContactStatusService.ts,detail
/adminapi/contract/email-contract,contract,ContractService.ts,sendContract
/adminapi/contract/email-quote,contract,ContractService.ts,sendQuote
/adminapi/contract/update-and-init,contract,ContractService.ts,updateAndInit
/adminapi/contractAttachment/delete,contractAttachment,ContractAttachmentService.ts,contractAttachmentDelete
/adminapi/contractAttachment/get,contractAttachment,unknown,contractAttachmentDetail
/adminapi/contractAttachment/list,contractAttachment,ContractAttachmentService.ts,contractAttachmentList
/adminapi/contractAttachment/update,contractAttachment,ContractAttachmentService.ts,contractAttachmentUpdate
/adminapi/contractAttribute/checkDuplicated,contractAttribute,ContractAttributeService.ts,checkDuplicated
/adminapi/contractAttribute/delete,contractAttribute,ContractAttributeService.ts,delete
/adminapi/contractAttribute/list,contractAttribute,ContractAttributeService.ts,list
/adminapi/contractAttribute/listAll,contractAttribute,ContractAttributeService.ts,listAll
/adminapi/contractAttribute/listFilter,contractAttribute,ContractService.ts,fieldTable
/adminapi/contractAttribute/update,contractAttribute,ContractAttributeService.ts,update
/adminapi/contractCategory/delete,contractCategory,ContractCategoryService.ts,delete
/adminapi/contractCategory/get,contractCategory,ContractCategoryService.ts,detail
/adminapi/contractCategory/list,contractCategory,ContractCategoryService.ts,list
/adminapi/contractCategory/update,contractCategory,ContractCategoryService.ts,update
/adminapi/contractEform/get/criteria,contractEform,ContractEformService.ts,contractEformDetail
/adminapi/contractEform/update,contractEform,ContractEformService.ts,contractEformUpdate
/adminapi/contractExchange/get,contractExchange,ContractService.ts,updateContractExchange
/adminapi/contractExtraInfo/list,contractExtraInfo,ContractExtraInfoService.ts,list
/adminapi/contractHandover/delete,contractHandover,ContractService.ts,deleteHandoverProgress
/adminapi/contractHandover/list,contractHandover,ContractService.ts,listHandoverProgress
/adminapi/contractHandover/update,contractHandover,ContractService.ts,updateHandoverProgress
/adminapi/contractInvestorPayment/delete,contractInvestorPayment,unknown,delete
/adminapi/contractInvestorPayment/get,contractInvestorPayment,unknown,detail
/adminapi/contractInvestorPayment/list,contractInvestorPayment,unknown,list
/adminapi/contractInvestorPayment/update,contractInvestorPayment,unknown,update
/adminapi/contractItem/update,contractItem,ContractService.ts,updateHandover
/adminapi/contractPayment/get,contractPayment,ContractPaymentService.ts,detail
/adminapi/contractPipeline/get,contractPipeline,ContractPipelineService.ts,detail
/adminapi/contractProgress/delete,contractProgress,unknown,delete
/adminapi/contractProgress/get,contractProgress,unknown,detail
/adminapi/contractProgress/list,contractProgress,unknown,list
/adminapi/contractProgress/update,contractProgress,unknown,update
/adminapi/contractQuote/deleteByQuoteId,contractQuote,ProcessedObjectService.ts,deleteQuoteContract
/adminapi/contractQuote/list,contractQuote,ProcessedObjectService.ts,lstQuoteContract
/adminapi/contractQuote/update,contractQuote,ProcessedObjectService.ts,updateQuoteContract
/adminapi/contractRequest/list,contractRequest,ContractService.ts,listCodeSuggest
